#Digilent WaveForms Oscilloscope Acquisition,
#Device Name: Discovery2,
#Serial Number: SN:210321A4216E,
#Date Time: 2020-04-24 14:15:11.596,
#Sample rate: 800Hz,
#Samples: 8000,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,
#Channel 1: Range: 50 mV/div Offset: -200 mV,
,
Time (s),Channel 1 (V)
-1.30875,0.00261464
-1.3075,0.00161325
-1.30625,0.00194704
-1.305,0.00294844
-1.30375,0.00261464
-1.3025,0.000611848
-1.30125,0.000945647
-1.3,0.00161325
-1.29875,0.00361604
-1.2975,0.00461744
-1.29625,0.00361604
-1.295,0.00328224
-1.29375,0.00294844
-1.2925,0.00394984
-1.29125,0.00628643
-1.29,0.00461744
-1.28875,0.00261464
-1.2875,0.00161325
-1.28625,0.00194704
-1.285,0.00328224
-1.28375,0.00294844
-1.2825,0.000611848
-1.28125,0.000945647
-1.28,0.00161325
-1.27875,0.00361604
-1.2775,0.00461744
-1.27625,0.00361604
-1.275,0.00328224
-1.27375,0.00294844
-1.2725,0.00428364
-1.27125,0.00628643
-1.27,0.00461744
-1.26875,0.00261464
-1.2675,0.00161325
-1.26625,0.00194704
-1.265,0.00328224
-1.26375,0.00294844
-1.2625,0.000611848
-1.26125,0.000611848
-1.26,0.00161325
-1.25875,0.00361604
-1.2575,0.00461744
-1.25625,0.00361604
-1.255,0.00328224
-1.25375,0.00294844
-1.2525,0.00394984
-1.25125,0.00628643
-1.25,0.00495124
-1.24875,0.00261464
-1.2475,0.00161325
-1.24625,0.00194704
-1.245,0.00328224
-1.24375,0.00294844
-1.2425,0.000611848
-1.24125,0.000945647
-1.24,0.00161325
-1.23875,0.00361604
-1.2375,0.00461744
-1.23625,0.00361604
-1.235,0.00328224
-1.23375,0.00294844
-1.2325,0.00428364
-1.23125,0.00628643
-1.23,0.00495124
-1.22875,0.00261464
-1.2275,0.00161325
-1.22625,0.00194704
-1.225,0.00328224
-1.22375,0.00294844
-1.2225,0.000611848
-1.22125,0.000945647
-1.22,0.00161325
-1.21875,0.00361604
-1.2175,0.00461744
-1.21625,0.00394984
-1.215,0.00328224
-1.21375,0.00294844
-1.2125,0.00394984
-1.21125,0.00628643
-1.21,0.00495124
-1.20875,0.00294844
-1.2075,0.00161325
-1.20625,0.00194704
-1.205,0.00328224
-1.20375,0.00294844
-1.2025,0.000611848
-1.20125,0.000945647
-1.2,0.00161325
-1.19875,0.00328224
-1.1975,0.00461744
-1.19625,0.00394984
-1.195,0.00328224
-1.19375,0.00294844
-1.1925,0.00394984
-1.19125,0.00595263
-1.19,0.00495124
-1.18875,0.00294844
-1.1875,0.00161325
-1.18625,0.00194704
-1.185,0.00328224
-1.18375,0.00294844
-1.1825,0.000611848
-1.18125,0.000945647
-1.18,0.00194704
-1.17875,0.00328224
-1.1775,0.00461744
-1.17625,0.00361604
-1.175,0.00361604
-1.17375,0.00294844
-1.1725,0.00428364
-1.17125,0.00628643
-1.17,0.00495124
-1.16875,0.00294844
-1.1675,0.00161325
-1.16625,0.00194704
-1.165,0.00328224
-1.16375,0.00294844
-1.1625,0.000945647
-1.16125,0.000945647
-1.16,0.00161325
-1.15875,0.00328224
-1.1575,0.00461744
-1.15625,0.00361604
-1.155,0.00328224
-1.15375,0.00294844
-1.1525,0.00394984
-1.15125,0.00628643
-1.15,0.00495124
-1.14875,0.00294844
-1.1475,0.00161325
-1.14625,0.00194704
-1.145,0.00328224
-1.14375,0.00294844
-1.1425,0.000945647
-1.14125,0.000945647
-1.14,0.00161325
-1.13875,0.00328224
-1.1375,0.00461744
-1.13625,0.00361604
-1.135,0.00328224
-1.13375,0.00294844
-1.1325,0.00394984
-1.13125,0.00595263
-1.13,0.00495124
-1.12875,0.00294844
-1.1275,0.00161325
-1.12625,0.00194704
-1.125,0.00328224
-1.12375,0.00294844
-1.1225,0.000945647
-1.12125,0.000945647
-1.12,0.00161325
-1.11875,0.00328224
-1.1175,0.00461744
-1.11625,0.00361604
-1.115,0.00361604
-1.11375,0.00328224
-1.1125,0.00394984
-1.11125,0.00628643
-1.11,0.00495124
-1.10875,0.00294844
-1.1075,0.00161325
-1.10625,0.00161325
-1.105,0.00328224
-1.10375,0.00294844
-1.1025,0.000945647
-1.10125,0.000611848
-1.1,0.00161325
-1.09875,0.00328224
-1.0975,0.00461744
-1.09625,0.00361604
-1.095,0.00328224
-1.09375,0.00294844
-1.0925,0.00394984
-1.09125,0.00628643
-1.09,0.00495124
-1.08875,0.00294844
-1.0875,0.00161325
-1.08625,0.00194704
-1.085,0.00328224
-1.08375,0.00294844
-1.0825,0.000945647
-1.08125,0.000945647
-1.08,0.00161325
-1.07875,0.00328224
-1.0775,0.00461744
-1.07625,0.00962443
-1.075,0.016968
-1.07375,0.0166342
-1.0725,0.0173018
-1.07125,0.0189708
-1.07,0.0176356
-1.06875,0.0156328
-1.0675,0.0142976
-1.06625,0.0142976
-1.065,0.0159666
-1.06375,0.016968
-1.0625,0.01363
-1.06125,0.016968
-1.06,0.0179694
-1.05875,0.0196384
-1.0575,0.0206398
-1.05625,0.0199722
-1.055,0.0179694
-1.05375,0.0159666
-1.0525,0.016968
-1.05125,0.0189708
-1.05,0.0179694
-1.04875,0.0156328
-1.0475,0.0142976
-1.04625,0.035327
-1.045,0.0410015
-1.04375,0.0410015
-1.0425,0.0389988
-1.04125,0.0389988
-1.04,0.0400001
-1.03875,0.0416691
-1.0375,0.0430043
-1.03625,0.0423367
-1.035,0.0416691
-1.03375,0.0413353
-1.0325,0.0423367
-1.03125,0.0443395
-1.03,0.0426705
-1.02875,0.0410015
-1.0275,0.0396663
-1.02625,0.0396663
-1.025,0.0413353
-1.02375,0.0410015
-1.0225,0.0389988
-1.02125,0.0389988
-1.02,0.0400001
-1.01875,0.0416691
-1.0175,0.0430043
-1.01625,0.0423367
-1.015,0.0420029
-1.01375,0.0413353
-1.0125,0.0423367
-1.01125,0.0440057
-1.01,0.0426705
-1.00875,0.0406677
-1.0075,0.0396663
-1.00625,0.0393326
-1.005,0.0410015
-1.00375,0.0406677
-1.0025,0.038665
-1.00125,0.0383312
-1,0.0396663
-0.99875,0.0413353
-0.9975,0.0426705
-0.99625,0.0423367
-0.995,0.0416691
-0.99375,0.0413353
-0.9925,0.0420029
-0.99125,0.0440057
-0.99,0.0430043
-0.98875,0.0410015
-0.9875,0.0396663
-0.98625,0.0396663
-0.985,0.0413353
-0.98375,0.0410015
-0.9825,0.0389988
-0.98125,0.0389988
-0.98,0.0400001
-0.97875,0.0413353
-0.9775,0.0430043
-0.97625,0.0420029
-0.975,0.0416691
-0.97375,0.0413353
-0.9725,0.0423367
-0.97125,0.0440057
-0.97,0.0430043
-0.96875,0.0410015
-0.9675,0.0396663
-0.96625,0.0393326
-0.965,0.0413353
-0.96375,0.0410015
-0.9625,0.0389988
-0.96125,0.0389988
-0.96,0.0400001
-0.95875,0.0416691
-0.9575,0.0430043
-0.95625,0.0420029
-0.955,0.0416691
-0.95375,0.0413353
-0.9525,0.0420029
-0.95125,0.0440057
-0.95,0.0430043
-0.94875,0.0410015
-0.9475,0.0396663
-0.94625,0.0396663
-0.945,0.0413353
-0.94375,0.0410015
-0.9425,0.0389988
-0.94125,0.0389988
-0.94,0.0400001
-0.93875,0.0416691
-0.9375,0.0430043
-0.93625,0.0423367
-0.935,0.0416691
-0.93375,0.0413353
-0.9325,0.0420029
-0.93125,0.0440057
-0.93,0.0430043
-0.92875,0.0410015
-0.9275,0.0400001
-0.92625,0.0396663
-0.925,0.0416691
-0.92375,0.0410015
-0.9225,0.0389988
-0.92125,0.0389988
-0.92,0.0400001
-0.91875,0.0416691
-0.9175,0.0430043
-0.91625,0.0420029
-0.915,0.0416691
-0.91375,0.0413353
-0.9125,0.0423367
-0.91125,0.0440057
-0.91,0.0433381
-0.90875,0.0410015
-0.9075,0.0396663
-0.90625,0.0393326
-0.905,0.0413353
-0.90375,0.0410015
-0.9025,0.0389988
-0.90125,0.0389988
-0.9,0.0400001
-0.89875,0.0416691
-0.8975,0.0430043
-0.89625,0.0423367
-0.895,0.0416691
-0.89375,0.0413353
-0.8925,0.0420029
-0.89125,0.0440057
-0.89,0.0430043
-0.88875,0.0413353
-0.8875,0.0396663
-0.88625,0.0396663
-0.885,0.0413353
-0.88375,0.0410015
-0.8825,0.0389988
-0.88125,0.0389988
-0.88,0.0400001
-0.87875,0.0416691
-0.8775,0.0426705
-0.87625,0.0420029
-0.875,0.0416691
-0.87375,0.0413353
-0.8725,0.0420029
-0.87125,0.0440057
-0.87,0.0433381
-0.86875,0.0410015
-0.8675,0.0396663
-0.86625,0.0393326
-0.865,0.0413353
-0.86375,0.0410015
-0.8625,0.0389988
-0.86125,0.0389988
-0.86,0.0400001
-0.85875,0.0413353
-0.8575,0.0430043
-0.85625,0.0420029
-0.855,0.0416691
-0.85375,0.0413353
-0.8525,0.0420029
-0.85125,0.0436719
-0.85,0.0433381
-0.84875,0.0410015
-0.8475,0.0400001
-0.84625,0.0393326
-0.845,0.0413353
-0.84375,0.0410015
-0.8425,0.0389988
-0.84125,0.0389988
-0.84,0.0400001
-0.83875,0.0413353
-0.8375,0.0426705
-0.83625,0.0420029
-0.835,0.0416691
-0.83375,0.0413353
-0.8325,0.0420029
-0.83125,0.0440057
-0.83,0.0433381
-0.82875,0.0413353
-0.8275,0.0396663
-0.82625,0.0396663
-0.825,0.0413353
-0.82375,0.0410015
-0.8225,0.0389988
-0.82125,0.0389988
-0.82,0.0400001
-0.81875,0.0416691
-0.8175,0.0430043
-0.81625,0.0420029
-0.815,0.0413353
-0.81375,0.0410015
-0.8125,0.0416691
-0.81125,0.0436719
-0.81,0.0430043
-0.80875,0.0410015
-0.8075,0.0393326
-0.80625,0.0389988
-0.805,0.0413353
-0.80375,0.0406677
-0.8025,0.038665
-0.80125,0.038665
-0.8,0.0396663
-0.79875,0.0410015
-0.7975,0.0426705
-0.79625,0.0420029
-0.795,0.0413353
-0.79375,0.0410015
-0.7925,0.0416691
-0.79125,0.0436719
-0.79,0.0430043
-0.78875,0.0410015
-0.7875,0.0393326
-0.78625,0.0389988
-0.785,0.0410015
-0.78375,0.0406677
-0.7825,0.038665
-0.78125,0.038665
-0.78,0.0396663
-0.77875,0.0410015
-0.7775,0.0426705
-0.77625,0.0403339
-0.775,0.0396663
-0.77375,0.0393326
-0.7725,0.0403339
-0.77125,0.0420029
-0.77,0.0413353
-0.76875,0.0393326
-0.7675,0.0379974
-0.76625,0.0373298
-0.765,0.0396663
-0.76375,0.0393326
-0.7625,0.0376636
-0.76125,0.0359946
-0.76,0.0356608
-0.75875,0.0349932
-0.7575,0.0363284
-0.75625,0.0359946
-0.755,0.035327
-0.75375,0.0349932
-0.7525,0.0389988
-0.75125,0.0516831
-0.75,0.0543535
-0.74875,0.0523507
-0.7475,0.0540197
-0.74625,0.0543535
-0.745,0.0570239
-0.74375,0.0570239
-0.7425,0.0553549
-0.74125,0.0523507
-0.74,0.0483451
-0.73875,0.0546873
-0.7375,0.0586929
-0.73625,0.0580253
-0.735,0.0546873
-0.73375,0.0530183
-0.7325,0.0553549
-0.73125,0.0540197
-0.73,0.0436719
-0.72875,0.0503479
-0.7275,0.0486789
-0.72625,0.0513493
-0.725,0.0606957
-0.72375,0.0687069
-0.7225,0.0940756
-0.72125,0.123784
-0.72,0.124451
-0.71875,0.126788
-0.7175,0.128123
-0.71625,0.30537
-0.715,0.10943
-0.71375,0.10676
-0.7125,0.208235
-0.71125,0.12612
-0.71,0.116106
-0.70875,0.114437
-0.7075,0.112768
-0.70625,0.112435
-0.705,0.114437
-0.70375,0.114104
-0.7025,0.112101
-0.70125,0.111767
-0.7,0.112768
-0.69875,0.114104
-0.6975,0.115773
-0.69625,0.108095
-0.695,0.107094
-0.69375,0.119778
-0.6925,0.114437
-0.69125,0.11644
-0.69,0.116106
-0.68875,0.11377
-0.6875,0.112435
-0.68625,0.112101
-0.685,0.114104
-0.68375,0.11377
-0.6825,0.111767
-0.68125,0.111767
-0.68,0.112435
-0.67875,0.11377
-0.6775,0.115439
-0.67625,0.114771
-0.675,0.114104
-0.67375,0.114104
-0.6725,0.114771
-0.67125,0.11644
-0.67,0.116106
-0.66875,0.114104
-0.6675,0.112435
-0.66625,0.112101
-0.665,0.114104
-0.66375,0.11377
-0.6625,0.111767
-0.66125,0.111767
-0.66,0.112435
-0.65875,0.11377
-0.6575,0.115439
-0.65625,0.115105
-0.655,0.114437
-0.65375,0.11377
-0.6525,0.114437
-0.65125,0.11644
-0.65,0.116106
-0.64875,0.11377
-0.6475,0.112435
-0.64625,0.112101
-0.645,0.107094
-0.64375,0.106426
-0.6425,0.114771
-0.64125,0.111433
-0.64,0.112101
-0.63875,0.113436
-0.6375,0.115105
-0.63625,0.114771
-0.635,0.114104
-0.63375,0.11377
-0.6325,0.114104
-0.63125,0.116106
-0.63,0.115773
-0.62875,0.11377
-0.6275,0.115439
-0.62625,0.112101
-0.625,0.114104
-0.62375,0.11377
-0.6225,0.111767
-0.62125,0.111767
-0.62,0.112435
-0.61875,0.11377
-0.6175,0.115439
-0.61625,0.115105
-0.615,0.114437
-0.61375,0.114104
-0.6125,0.114771
-0.61125,0.11644
-0.61,0.116106
-0.60875,0.114104
-0.6075,0.112435
-0.60625,0.112101
-0.605,0.114104
-0.60375,0.11377
-0.6025,0.112101
-0.60125,0.111767
-0.6,0.112435
-0.59875,0.11377
-0.5975,0.115439
-0.59625,0.125119
-0.595,0.244953
-0.59375,0.108763
-0.5925,0.107428
-0.59125,0.208569
-0.59,0.308708
-0.58875,0.240613
-0.5875,0.105425
-0.58625,0.200558
-0.585,0.198555
-0.58375,0.129458
-0.5825,0.274327
-0.58125,0.346094
-0.58,0.110432
-0.57875,0.106426
-0.5775,0.211907
-0.57625,0.159834
-0.575,0.424871
-0.57375,0.123784
-0.5725,0.132463
-0.57125,0.13747
-0.57,0.137136
-0.56875,0.13747
-0.5675,0.136468
-0.56625,0.135801
-0.565,0.138137
-0.56375,0.137136
-0.5625,0.135133
-0.56125,0.134799
-0.56,0.135801
-0.55875,0.137136
-0.5575,0.138805
-0.55625,0.138137
-0.555,0.137803
-0.55375,0.13747
-0.5525,0.136134
-0.55125,0.135801
-0.55,0.135801
-0.54875,0.133798
-0.5475,0.132129
-0.54625,0.131461
-0.545,0.133798
-0.54375,0.132796
-0.5425,0.124118
-0.54125,0.123784
-0.54,0.132129
-0.53875,0.133464
-0.5375,0.135133
-0.53625,0.137803
-0.535,0.138471
-0.53375,0.137803
-0.5325,0.138137
-0.53125,0.139806
-0.53,0.138471
-0.52875,0.137136
-0.5275,0.135133
-0.52625,0.135133
-0.525,0.13747
-0.52375,0.136802
-0.5225,0.135133
-0.52125,0.134799
-0.52,0.135467
-0.51875,0.137136
-0.5175,0.139138
-0.51625,0.136134
-0.515,0.133798
-0.51375,0.127122
-0.5125,0.127122
-0.51125,0.279
-0.51,0.452576
-0.50875,0.446568
-0.5075,0.18053
-0.50625,0.112101
-0.505,0.114104
-0.50375,0.11377
-0.5025,0.112101
-0.50125,0.111433
-0.5,0.112435
-0.49875,0.11377
-0.4975,0.115439
-0.49625,0.115105
-0.495,0.114437
-0.49375,0.114104
-0.4925,0.114104
-0.49125,0.109097
-0.49,0.110098
-0.48875,0.118777
-0.4875,0.113436
-0.48625,0.107761
-0.485,0.114104
-0.48375,0.11377
-0.4825,0.112101
-0.48125,0.111767
-0.48,0.163172
-0.47875,0.183534
-0.4775,0.11644
-0.47625,0.115105
-0.475,0.114437
-0.47375,0.114104
-0.4725,0.114437
-0.47125,0.11644
-0.47,0.11644
-0.46875,0.114104
-0.4675,0.112435
-0.46625,0.112101
-0.465,0.114104
-0.46375,0.117108
-0.4625,0.112101
-0.46125,0.111767
-0.46,0.112435
-0.45875,0.113436
-0.4575,0.115439
-0.45625,0.115105
-0.455,0.114437
-0.45375,0.114104
-0.4525,0.114437
-0.45125,0.11644
-0.45,0.11644
-0.44875,0.114104
-0.4475,0.112768
-0.44625,0.112101
-0.445,0.114104
-0.44375,0.11377
-0.4425,0.112101
-0.44125,0.110432
-0.44,0.104757
-0.43875,0.10676
-0.4375,0.115105
-0.43625,0.114771
-0.435,0.114104
-0.43375,0.11377
-0.4325,0.114437
-0.43125,0.116106
-0.43,0.116106
-0.42875,0.11377
-0.4275,0.118777
-0.42625,0.036996
-0.425,0.0389988
-0.42375,0.038665
-0.4225,0.036996
-0.42125,0.0366622
-0.42,0.0373298
-0.41875,0.0383312
-0.4175,0.0403339
-0.41625,0.0400001
-0.415,0.0393326
-0.41375,0.0410015
-0.4125,0.0393326
-0.41125,0.0410015
-0.41,0.0413353
-0.40875,0.0389988
-0.4075,0.0376636
-0.40625,0.036996
-0.405,0.0389988
-0.40375,0.038665
-0.4025,0.036996
-0.40125,0.0366622
-0.4,0.0379974
-0.39875,0.0383312
-0.3975,0.0403339
-0.39625,0.0400001
-0.395,0.0393326
-0.39375,0.0389988
-0.3925,0.0583591
-0.39125,0.107428
-0.39,0.11644
-0.38875,0.108763
-0.3875,0.105425
-0.38625,0.0977474
-0.385,0.0490127
-0.38375,0.038665
-0.3825,0.036996
-0.38125,0.0366622
-0.38,0.0373298
-0.37875,0.0383312
-0.3775,0.0403339
-0.37625,0.0400001
-0.375,0.0393326
-0.37375,0.0389988
-0.3725,0.0393326
-0.37125,0.0410015
-0.37,0.0413353
-0.36875,0.0393326
-0.3675,0.0376636
-0.36625,0.036996
-0.365,0.0389988
-0.36375,0.038665
-0.3625,0.036996
-0.36125,0.0363284
-0.36,0.036996
-0.35875,0.0383312
-0.3575,0.0403339
-0.35625,0.0400001
-0.355,0.0393326
-0.35375,0.0389988
-0.3525,0.0393326
-0.35125,0.0410015
-0.35,0.0413353
-0.34875,0.0389988
-0.3475,0.0376636
-0.34625,0.036996
-0.345,0.038665
-0.34375,0.038665
-0.3425,0.0373298
-0.34125,0.0366622
-0.34,0.0373298
-0.33875,0.0383312
-0.3375,0.0403339
-0.33625,0.0400001
-0.335,0.0393326
-0.33375,0.0389988
-0.3325,0.0393326
-0.33125,0.0410015
-0.33,0.0413353
-0.32875,0.0389988
-0.3275,0.0373298
-0.32625,0.036996
-0.325,0.0389988
-0.32375,0.038665
-0.3225,0.0373298
-0.32125,0.0366622
-0.32,0.036996
-0.31875,0.0383312
-0.3175,0.0403339
-0.31625,0.0400001
-0.315,0.0393326
-0.31375,0.0410015
-0.3125,0.0393326
-0.31125,0.0410015
-0.31,0.0413353
-0.30875,0.0389988
-0.3075,0.0376636
-0.30625,0.036996
-0.305,0.038665
-0.30375,0.038665
-0.3025,0.036996
-0.30125,0.0366622
-0.3,0.0379974
-0.29875,0.0383312
-0.2975,0.0403339
-0.29625,0.0400001
-0.295,0.0393326
-0.29375,0.0389988
-0.2925,0.0393326
-0.29125,0.0410015
-0.29,0.0660365
-0.28875,0.114771
-0.2875,0.110432
-0.28625,0.104423
-0.285,0.111433
-0.28375,0.12612
-0.2825,0.143478
-0.28125,0.111767
-0.28,0.112101
-0.27875,0.113436
-0.2775,0.115439
-0.27625,0.115105
-0.275,0.114437
-0.27375,0.114104
-0.2725,0.114437
-0.27125,0.116106
-0.27,0.116774
-0.26875,0.114437
-0.2675,0.112101
-0.26625,0.112101
-0.265,0.114104
-0.26375,0.11377
-0.2625,0.112435
-0.26125,0.111767
-0.26,0.112435
-0.25875,0.113436
-0.2575,0.115439
-0.25625,0.115439
-0.255,0.114437
-0.25375,0.114104
-0.2525,0.114437
-0.25125,0.116106
-0.25,0.116774
-0.24875,0.114437
-0.2475,0.112768
-0.24625,0.112101
-0.245,0.114104
-0.24375,0.11377
-0.2425,0.113102
-0.24125,0.111767
-0.24,0.112101
-0.23875,0.113436
-0.2375,0.115439
-0.23625,0.112768
-0.235,0.107094
-0.23375,0.108763
-0.2325,0.117108
-0.23125,0.0927404
-0.23,0.0416691
-0.22875,0.0393326
-0.2275,0.0376636
-0.22625,0.036996
-0.225,0.038665
-0.22375,0.038665
-0.2225,0.0373298
-0.22125,0.0366622
-0.22,0.0373298
-0.21875,0.0383312
-0.2175,0.0403339
-0.21625,0.0413353
-0.215,0.0393326
-0.21375,0.0416691
-0.2125,0.0393326
-0.21125,0.0410015
-0.21,0.0416691
-0.20875,0.0393326
-0.2075,0.0393326
-0.20625,0.036996
-0.205,0.038665
-0.20375,0.038665
-0.2025,0.0373298
-0.20125,0.0366622
-0.2,0.0379974
-0.19875,0.0383312
-0.1975,0.0403339
-0.19625,0.0400001
-0.195,0.0393326
-0.19375,0.0389988
-0.1925,0.0393326
-0.19125,0.0410015
-0.19,0.0416691
-0.18875,0.0393326
-0.1875,0.0673717
-0.18625,0.114104
-0.185,0.111099
-0.18375,0.106426
-0.1825,0.111767
-0.18125,0.0533521
-0.18,0.0373298
-0.17875,0.0383312
-0.1775,0.0403339
-0.17625,0.0400001
-0.175,0.0393326
-0.17375,0.0389988
-0.1725,0.0393326
-0.17125,0.0410015
-0.17,0.0416691
-0.16875,0.0393326
-0.1675,0.0376636
-0.16625,0.036996
-0.165,0.038665
-0.16375,0.038665
-0.1625,0.0373298
-0.16125,0.0366622
-0.16,0.036996
-0.15875,0.0379974
-0.1575,0.0403339
-0.15625,0.0400001
-0.155,0.0393326
-0.15375,0.0389988
-0.1525,0.0393326
-0.15125,0.0410015
-0.15,0.0416691
-0.14875,0.0393326
-0.1475,0.0376636
-0.14625,0.036996
-0.145,0.038665
-0.14375,0.038665
-0.1425,0.0373298
-0.14125,0.0363284
-0.14,0.036996
-0.13875,0.0379974
-0.1375,0.0403339
-0.13625,0.0400001
-0.135,0.0393326
-0.13375,0.0389988
-0.1325,0.0393326
-0.13125,0.0410015
-0.13,0.0416691
-0.12875,0.0393326
-0.1275,0.0376636
-0.12625,0.036996
-0.125,0.038665
-0.12375,0.038665
-0.1225,0.0373298
-0.12125,0.0366622
-0.12,0.036996
-0.11875,0.0383312
-0.1175,0.0403339
-0.11625,0.0400001
-0.115,0.0393326
-0.11375,0.0410015
-0.1125,0.0393326
-0.11125,0.0410015
-0.11,0.0416691
-0.10875,0.0393326
-0.1075,0.0376636
-0.10625,0.036996
-0.105,0.038665
-0.10375,0.038665
-0.1025,0.0373298
-0.10125,0.0366622
-0.1,0.0379974
-0.09875,0.0383312
-0.0975,0.0403339
-0.09625,0.0403339
-0.095,0.0393326
-0.09375,0.0389988
-0.0925,0.0393326
-0.09125,0.0406677
-0.09,0.0416691
-0.08875,0.0393326
-0.0875,0.0376636
-0.08625,0.036996
-0.085,0.0773857
-0.08375,0.114437
-0.0825,0.10943
-0.08125,0.10409
-0.08,0.113102
-0.07875,0.0483451
-0.0775,0.0403339
-0.07625,0.0403339
-0.075,0.0393326
-0.07375,0.0389988
-0.0725,0.0389988
-0.07125,0.0406677
-0.07,0.0416691
-0.06875,0.0393326
-0.0675,0.0376636
-0.06625,0.036996
-0.065,0.038665
-0.06375,0.038665
-0.0625,0.0373298
-0.06125,0.0363284
-0.06,0.036996
-0.05875,0.0379974
-0.0575,0.0403339
-0.05625,0.0403339
-0.055,0.0393326
-0.05375,0.0389988
-0.0525,0.0393326
-0.05125,0.0410015
-0.05,0.0416691
-0.04875,0.0396663
-0.0475,0.0376636
-0.04625,0.036996
-0.045,0.038665
-0.04375,0.038665
-0.0425,0.0373298
-0.04125,0.0363284
-0.04,0.036996
-0.03875,0.0379974
-0.0375,0.0403339
-0.03625,0.0403339
-0.035,0.0393326
-0.03375,0.0389988
-0.0325,0.0393326
-0.03125,0.0406677
-0.03,0.0416691
-0.02875,0.0393326
-0.0275,0.0376636
-0.02625,0.036996
-0.025,0.038665
-0.02375,0.038665
-0.0225,0.0376636
-0.02125,0.0366622
-0.02,0.036996
-0.01875,0.0379974
-0.0175,0.0403339
-0.01625,0.0403339
